FltyId,Longitude,Latitude,Area,Occ,NumStories,FoundationType,FirstFloorHt,FOUND_TYPE,Cost,ContentCost,GooglePlus
12311,-101.3233988,48.21421714,2435,RES1,1,7,1.295,SLAB ON GRADE,160000,80000,85WW6MP8+X7
12312,-101.3232452,48.21518645,2373,RES1,1,7,4.89,SLAB ON GRADE,271500,135750,85WW6MFV+5M
12313,-101.3095075,48.213899,1136,RES1,1,7,1.175,SLAB ON GRADE,96000,48000,85WW6MFX+RQ
12314,-101.3138522,48.21696095,1115,RES1,1,7,1.92,SLAB ON GRADE,107500,53750,85WW6PF5+6J
12315,-101.290315,48.214862,2791,RES1,2,7,2.17,SLAB ON GRADE,147500,73750,85WW6M6F+49
12316,-101.288203,48.215463,1018,RES1,1,7,1.175,SLAB ON GRADE,85000,42500,85WW6PQ8+H3
12317,-101.2641137,48.21287987,2202,COM4,1,7,1.22,SLAB ON GRADE,95500,47750,85WW7M6W+J2
12318,-101.2642333,48.21287335,1563,IND4,1,7,1.42,SLAB ON GRADE,65500,32750,85WW6PC5+VR
12319,-101.3432875,48.21565332,2283,RES1,1,7,1.425,SLAB ON GRADE,127000,63500,85WW6MJM+J9
12320,-101.3348657,48.21249196,1210,RES3A,1,7,3.825,SLAB ON GRADE,67500,33750,85WW7M4G+3X
12321,-101.334865,48.21261971,2601,RES3A,1,7,1.14,SLAB ON GRADE,143500,71750,85WW7M4H+M7
12322,-101.3251002,48.21053462,2114,RES1,1,7,1.5,SLAB ON GRADE,92300,46150,85WW6PJP+79
12323,-101.3191185,48.2128735,788,RES2,1,7,2.815,SLAB ON GRADE,37500,18750,85WW6PHH+WJ
12324,-101.3159667,48.21489878,3059,RES3A,1,7,1.17,SLAB ON GRADE,137000,68500,85WW7M4H+M8
12325,-101.3161009,48.21489722,1828,RES3A,1,7,1.295,SLAB ON GRADE,69000,34500,85WW7M4P+PQ
12326,-101.3138018,48.21440628,1807,RES1,1,7,1.065,SLAB ON GRADE,98000,49000,85WW6M7V+H6
12327,-101.3131335,48.214843,887,RES1,2,7,2.89,SLAB ON GRADE,8166,4083,85WW7M9X+RX
12328,-101.294373,48.215447,1831,RES3E,1,7,1.14,SLAB ON GRADE,105500,52750,85WW6P84+56
12329,-101.2950489,48.21674701,1545,COM8,1,7,1.825,SLAB ON GRADE,90000,45000,85WW6MXM+2P
12330,-101.2895625,48.2180185,623,RES1,1,7,1.5,SLAB ON GRADE,84700,42350,85WW6PP8+65
12331,-101.28259,48.21316136,1674,RES3A,1,7,1.16,SLAB ON GRADE,78500,39250,85WW7M5P+7X
12332,-101.2825005,48.2131615,2197,RES3A,1,7,1.39,SLAB ON GRADE,77000,38500,85WW7M5P+7X
12333,-101.2823841,48.21316156,2992,RES3A,1,7,7.92,SLAB ON GRADE,140500,70250,85WW7M2J+GW
12334,-101.321271,48.213313,413,RES2,1,7,2.845,SLAB ON GRADE,37500,18750,85WW6PJJ+2C
12335,-101.314597,48.2128855,2333,RES1,2,7,1.13,SLAB ON GRADE,131500,65750,85WW6M8Q+GP
12336,-101.3139093,48.21312147,1421,RES1,1,7,1.435,SLAB ON GRADE,143300,71650,85WW6MQV+F4
12337,-101.3105941,48.21417143,2704,RES1,2,7,0.985,SLAB ON GRADE,105500,52750,85WW6P88+MC
12338,-101.3082054,48.21486019,1964,RES1,1,7,1.56,SLAB ON GRADE,127000,63500,85WW6PR4+7G
12339,-101.308947,48.21578225,1101,RES1,1,7,1.545,SLAB ON GRADE,127000,63500,85WW6PMH+PW
12340,-101.3011352,48.21707558,2794,RES1,1,7,1.045,SLAB ON GRADE,202200,101100,85WW6MJ9+MR
12341,-101.2916864,48.21744225,1837,RES1,1,7,4.61,SLAB ON GRADE,91000,45500,85WW6PH5+3V
12342,-101.2902904,48.21525979,1710,RES1,1,7,1.485,SLAB ON GRADE,127000,63500,85WW6MP9+G2
12343,-101.2889735,48.216185,1594,RES1,2,7,1.19,SLAB ON GRADE,69500,34750,85WW6PH6+6C
