DebrisID,Description,Finishes,Structure,Foundation,Comment
GOV1NBFT1,GOV1 without basement with footing foundation at 1-4' water,1.8,0,0,
GOV1NBFT4,GOV1 without basement with footing foundation at 4-8' water,2.5,0,0,
GOV1NBFT8,GOV1 without basement with footing foundation at 8-12'+ water,4.3,0,0,
GOV1NBFT12,GOV1 without basement with footing foundation at 12'+ water,5,31.3,8.7,
GOV1NBSG0,GOV1 without basement with slab on grade foundation at 0-1' water,1.8,0,0,
GOV1NBSG1,GOV1 without basement with slab on grade foundation at 1-4' water,1.8,0,0,
GOV1NBSG4,GOV1 without basement with slab on grade foundation at 4-8' water,2.5,0,0,
GOV1NBSG8,GOV1 without basement with slab on grade foundation at 8-12'+ water,4.3,0,0,
GOV1NBSG12,GOV1 without basement with slab on grade foundation at 12'+ water,5,31.3,25,
GOV2NBFT0,GOV2 without basement with footing foundation at 0-1' water,0.5,0,0,
GOV2NBFT1,GOV2 without basement with footing foundation at 1-4' water,0.5,0,0,
GOV2NBFT4,GOV2 without basement with footing foundation at 4-8' water,0.7,0,0,
GOV2NBFT8,GOV2 without basement with footing foundation at 8-12'+ water,1.5,0,0,
GOV2NBFT12,GOV2 without basement with footing foundation at 12'+ water,1.7,18,8.7,
GOV2NBSG0,GOV2 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
GOV2NBSG1,GOV2 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
GOV2NBSG4,GOV2 without basement with slab on grade foundation at 4-8' water,0.7,0,0,
GOV2NBSG8,GOV2 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
GOV2NBSG12,GOV2 without basement with slab on grade foundation at 12'+ water,1.7,18,25,
IND1NBFT0,IND1 without basement with footing foundation at 0-1' water,0.5,0,0,
IND1NBFT1,IND1 without basement with footing foundation at 1-4' water,0.5,0,0,
IND1NBFT4,IND1 without basement with footing foundation at 4-8' water,0.7,0,0,
IND1NBFT8,IND1 without basement with footing foundation at 8-12'+ water,1.5,0,0,
IND1NBFT12,IND1 without basement with footing foundation at 12'+ water,1.7,50.4,5.2,
IND1NBSG0,IND1 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
